시도,시군구,시설명,소유기관,종류
서울,광진구,아차산배수지체육공원 농구장,광진구,기타체육시설
서울,광진구,중랑천체육공원 족구장,광진구,기타체육시설
서울,광진구,중랑천체육공원 배드민턴장,광진구,기타체육시설
서울,광진구,중랑천체육공원 농구장,광진구,기타체육시설
서울,광진구,어린이대공원 풋살장,서울시설공단,기타체육시설
서울,동대문구,중랑천 제1체육공원 파크골프장,동대문구시설관리공단,기타체육시설
서울,동대문구,중랑천 제2체육공원 족구장,동대문구시설관리공단,기타체육시설
서울,동대문구,중랑천 제3체육공원 풋살장,동대문구시설관리공단,기타체육시설
서울,동대문구,중랑천 제5체육공원 풋살장,동대문구시설관리공단,기타체육시설
서울,도봉구,창동문화체육센터 옥상풋살장,도봉구시설관리공단,기타체육시설
서울,은평구,은평인공암벽장,서울시산악연맹,기타체육시설
서울,중랑구,중랑 스포츠클라이밍 경기장,서울시산악연맹,기타체육시설
서울,마포구,망원유수지 풋살장,"위탁
(마포구체육회)",기타체육시설
서울,마포구,성산 당구장,마포구,기타체육시설
서울,마포구,망원유수지 소프트테니스장,마포구,기타체육시설
서울,마포구,서울월드컵경기장 풋살구장 A면,서울시설공단,기타체육시설
서울,마포구,서울월드컵경기장 풋살구장 B면,서울시설공단,기타체육시설
서울,마포구,서울월드컵경기장 풋살구장 C면,서울시설공단,기타체육시설
서울,양천구,해누리체육공원 풋살장,양천구 시설관리공단,기타체육시설
서울,양천구,해누리체육공원 족구장,양천구 시설관리공단,기타체육시설
서울,양천구,연의체육공원 농구장,양천구,기타체육시설
서울,양천구,연의체육공원 배드민턴장,양천구,기타체육시설
서울,강서구,서남물재생센터 파크골프장,"서울물재생시설공단
(서남센터)",기타체육시설
서울,강서구,서남물재생센터 탁구장,"서울물재생시설공단
(서남센터)",기타체육시설
서울,구로구,"고척 풋살장
(고척스카이돔)",서울시설공단,기타체육시설
서울,금천구,풋살장,금천구,기타체육시설
서울,금천구,파크골프장,금천구,기타체육시설
서울,금천구,금천베이스볼파크,금천구시설관리공단,기타체육시설
서울,영등포구,스포츠클라이밍경기장,영등포구 시설관리공단,기타체육시설
서울,영등포구,파크골프장,영등포구 시설관리공단,기타체육시설
서울,강남구,마루공원 풋살장,서울물재생시설공단,기타체육시설
서울,강남구,마루공원 족구장,서울물재생시설공단,기타체육시설
서울,강남구,마루공원 족구장,서울물재생시설공단,기타체육시설
서울,강남구,마루공원 농구장,서울물재생시설공단,기타체육시설
서울,강남구,마루공원 게이트볼장,서울물재생시설공단,기타체육시설
서울,강남구,에코파크 풋살장,서울물재생시설공단,기타체육시설
서울,강남구,에코파크 족구장,서울물재생시설공단,기타체육시설
서울,강남구,복개공원1단계 배드민턴장,서울물재생시설공단,기타체육시설
서울,강남구,복개공원1단계 게이트볼장,서울물재생시설공단,기타체육시설
서울,송파구,장애인론볼장,한강사업본부,기타체육시설
서울,송파구,풍납동 족구장,송파구,기타체육시설
서울,송파구,성내천 족구장,송파구,기타체육시설
서울,송파구,잠실유수지 체육시설,송파구체육회,기타체육시설
서울,송파구,탄천유수지 체육시설,송파구체육회,기타체육시설
서울,강동구,성내유수지 풋살장,강동구청 직영,기타체육시설
서울,강동구,샘터족구장,강동구청 직영,기타체육시설
